courseCode	indexID	maxVacancy	availVancancy	lessonList	groupName	studentsRegistered	studentsInWaitlist	studentsExempted
CZ2001	10182	5	5	[LECTURE, TUTORIAL, LAB]	DSAI1			
CZ2001	10183	5	5	[LECTURE, TUTORIAL, LAB]	DSAI2			
CZ2001	10184	5	5	[LECTURE, TUTORIAL, LAB]	SS1			
CZ2001	10185	5	5	[LECTURE, TUTORIAL, LAB]	SS2			
CZ2001	10186	5	5	[LECTURE, TUTORIAL, LAB]	SS3			
CZ2001	10187	5	5	[LECTURE, TUTORIAL, LAB]	SS4			
CZ2001	10188	5	5	[LECTURE, TUTORIAL, LAB]	SS5			
CZ2001	10189	5	5	[LECTURE, TUTORIAL, LAB]	SS6			
CZ2001	10191	5	5	[LECTURE, TUTORIAL, LAB]	SSP1			
CZ2001	10192	5	5	[LECTURE, TUTORIAL, LAB]	SSP2			
CZ2001	10193	5	5	[LECTURE, TUTORIAL, LAB]	SSP3			
CZ2001	10194	5	5	[LECTURE, TUTORIAL, LAB]	SSP4			
CZ2001	10195	5	5	[LECTURE, TUTORIAL, LAB]	SSP5			
CZ2001	10196	5	5	[LECTURE, TUTORIAL, LAB]	SSP6			
CZ2001	10197	5	5	[LECTURE, TUTORIAL, LAB]	SSP7			
CZ2001	10404	5	5	[LECTURE, TUTORIAL, LAB]	SS7			
CZ2001	10405	5	5	[LECTURE, TUTORIAL, LAB]	SS7			
CZ2001	10440	5	5	[LECTURE, TUTORIAL, LAB]	SS7			
CZ2001	10441	5	5	[LECTURE, TUTORIAL, LAB]	SS7			
CZ2001	10487	5	5	[LECTURE, TUTORIAL, LAB]	SE1			
CZ2001	10488	5	5	[LECTURE, TUTORIAL, LAB]	SE2			
CZ2001	10489	5	5	[LECTURE, TUTORIAL, LAB]	SEP1			
CZ2001	10490	5	5	[LECTURE, TUTORIAL, LAB]	SEP2			
CZ2001	10491	5	5	[LECTURE, TUTORIAL, LAB]	SS8			
CZ2001	10492	5	5	[LECTURE, TUTORIAL, LAB]	SE1			
CZ2001	10494	5	5	[LECTURE, TUTORIAL, LAB]	SS1			
CZ2001	13829	5	5	[LECTURE, TUTORIAL, LAB]	BCG2			
CZ2002	10198	5	5	[LECTURE, TUTORIAL, LAB]	DSAI1			
CZ2002	10199	5	5	[LECTURE, TUTORIAL, LAB]	DSAI2			
CZ2002	10200	5	5	[LECTURE, TUTORIAL, LAB]	SS10			
CZ2002	10201	5	5	[LECTURE, TUTORIAL, LAB]	SS11			
CZ2002	10202	5	5	[LECTURE, TUTORIAL, LAB]	SS2			
CZ2002	10203	5	5	[LECTURE, TUTORIAL, LAB]	SS4			
CZ2002	10204	5	5	[LECTURE, TUTORIAL, LAB]	SS5			
CZ2002	10205	5	5	[LECTURE, TUTORIAL, LAB]	SS6			
CZ2002	10206	5	5	[LECTURE, TUTORIAL, LAB]	SS7			
CZ2002	10207	5	5	[LECTURE, TUTORIAL, LAB]	SS8			
CZ2002	10208	5	5	[LECTURE, TUTORIAL, LAB]	SS9			
CZ2002	10209	5	5	[LECTURE, TUTORIAL, LAB]	SS12			
CZ2002	10480	5	5	[LECTURE, TUTORIAL, LAB]	SS13			
CZ2002	10481	5	5	[LECTURE, TUTORIAL, LAB]	SS14			
CZ2002	10486	5	5	[LECTURE, TUTORIAL, LAB]	SE3			
CZ2002	10493	5	5	[LECTURE, TUTORIAL, LAB]	SS10			
CZ2002	10512	5	5	[LECTURE, TUTORIAL, LAB]	SS1			
CZ2002	13830	5	5	[LECTURE, TUTORIAL, LAB]	BCG2			
CZ2002	13831	5	5	[LECTURE, TUTORIAL, LAB]	SS1			
CZ2002	13832	5	5	[LECTURE, TUTORIAL, LAB]	SS3			
CZ2003	10210	5	5	[LECTURE, TUTORIAL, LAB]	SSR1			
CZ2003	10211	5	5	[LECTURE, TUTORIAL, LAB]	SSR2			
CZ2003	10212	5	5	[LECTURE, TUTORIAL, LAB]	SSR3			
CZ2003	10213	5	5	[LECTURE, TUTORIAL, LAB]	SSR4			
CZ2003	10214	5	5	[LECTURE, TUTORIAL, LAB]	SSR5			
CZ2003	10215	5	5	[LECTURE, TUTORIAL, LAB]	SSR6			
CZ2003	10216	5	5	[LECTURE, TUTORIAL, LAB]	SSR7			
CZ2004	10217	5	5	[LECTURE, TUTORIAL, LAB]	DSAI1			
CZ2004	10218	5	5	[LECTURE, TUTORIAL, LAB]	DSAI2			
CZ2004	10219	5	5	[LECTURE, TUTORIAL, LAB]	SS1			
CZ2004	10220	5	5	[LECTURE, TUTORIAL, LAB]	SS2			
CZ2004	10221	5	5	[LECTURE, TUTORIAL, LAB]	SS3			
CZ2004	10222	5	5	[LECTURE, TUTORIAL, LAB]	SS4			
CZ2004	10223	5	5	[LECTURE, TUTORIAL, LAB]	SS5			
CZ2004	10224	5	5	[LECTURE, TUTORIAL, LAB]	SS6			
CZ2004	10225	5	5	[LECTURE, TUTORIAL, LAB]	SSA1			
CZ2004	10226	5	5	[LECTURE, TUTORIAL, LAB]	SSP5			
CZ2004	10227	5	5	[LECTURE, TUTORIAL, LAB]	SSP6			
CZ2004	10442	5	5	[LECTURE, TUTORIAL, LAB]	SS1			
CZ2004	10443	5	5	[LECTURE, TUTORIAL, LAB]	SS2			
CZ2004	10444	5	5	[LECTURE, TUTORIAL, LAB]	SS3			
CZ2004	10485	5	5	[LECTURE, TUTORIAL, LAB]	SSP5			
CZ2005	10229	5	5	[LECTURE, TUTORIAL, LAB]	SS1			
CZ2005	10230	5	5	[LECTURE, TUTORIAL, LAB]	SS2			
CZ2005	10231	5	5	[LECTURE, TUTORIAL, LAB]	SS3			
CZ2005	10232	5	5	[LECTURE, TUTORIAL, LAB]	SS4			
CZ2005	10233	5	5	[LECTURE, TUTORIAL, LAB]	SS6			
CZ2005	10234	5	5	[LECTURE, TUTORIAL, LAB]	SS7			
CZ2005	10235	5	5	[LECTURE, TUTORIAL, LAB]	SS8			
CZ2005	10236	5	5	[LECTURE, TUTORIAL, LAB]	SS9			
